,Paths,S8->Li2S4-Edge 1,S8->Li2S4-Edge 2,S8->Li2S4-Edge 3,S8->Li2S4-Edge 4,S8->Li2S4-Edge 5,S8->Li2S4-Edge 6,S8->Li2S4-Edge 7,S8->Li2S4-Edge 8,S8->Li2S4-Edge 9,Li2S4->Li2S-Edge 1,Li2S4->Li2S-Edge 2,Li2S4->Li2S-Edge 3,Li2S4->Li2S-Edge 4,Li2S4->Li2S-Edge 5,Li2S4->Li2S-Edge 6,Energy_barrier(eV),sum,sum_positive_except_max
0,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,0.592,-1.2959999999999996,1.342
1,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,0.592,-1.2959999999999996,1.4809999999999999
2,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.045,-1.295,1.268
3,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.045,-1.296,1.458
4,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,0.574,-1.2949999999999997,1.361
5,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,0.665,-1.2949999999999997,1.268
6,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,0.665,-1.2959999999999996,1.458
7,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,0.665,-1.2950000000000002,1.2699999999999998
8,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,0.665,-1.296,1.46
9,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,0.592,-1.2969999999999995,1.532
10,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.046,-0.168,-0.18,0.381,0.003,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,0.665,-1.2949999999999997,1.407
